,Product Code,Quality,Process T (C),Ambient T (C),T Difference Squared (C^2),Tool Lifespan (min),Tool Lifespan/Temp Increase^2 (min/C^2),Rotation Speed (rpm),Torque (Nm),Horsepower (HP),Machine Status
4649,S,L,34.75,25.15,92.16000000000003,74.0,1.0,1515.0,46.7,13.471153846153847,0.0
4650,T,L,34.85,25.25,92.16000000000003,72.0,1.0,1551.0,33.8,9.981683168316831,0.0
4651,T,L,34.75,25.15,92.16000000000003,70.0,1.0,1355.0,51.3,13.23524371667936,0.0
4652,K,L,34.75,25.15,92.16000000000003,68.0,1.0,1530.0,35.9,10.458301599390708,0.0
4653,T,L,34.75,25.15,92.16000000000003,66.0,1.0,1749.0,26.1,8.691717440974868,0.0
4654,S,L,34.75,25.15,92.16000000000003,64.0,1.0,1627.0,31.5,9.758282559025133,0.0
4655,S,L,34.75,25.15,92.16000000000003,62.0,1.0,1439.0,41.6,11.398019801980197,0.0
4656,K,L,34.75,25.15,92.16000000000003,60.0,1.0,1521.0,42.9,12.4240099009901,0.0
4657,Z,M,34.75,25.05,94.08999999999999,57.0,1.0,1608.0,32.6,9.981111957349581,0.0
4658,K,M,34.75,25.05,94.08999999999999,54.0,1.0,1503.0,44.7,12.792098248286369,0.0
4659,S,L,34.65,24.95,94.08999999999999,49.0,1.0,1430.0,47.3,12.878712871287128,0.0
4660,S,M,34.25,24.75,90.25,222.0,2.0,1804.0,26.0,8.930693069306932,0.0
4661,Z,M,34.35,24.85,90.25,219.0,2.0,1610.0,34.6,10.606626047220107,0.0
4662,T,L,34.95,25.05,98.01000000000005,164.0,2.0,1697.0,31.0,10.016565118050266,0.0
4663,S,H,34.95,25.05,98.01000000000005,159.0,2.0,1570.0,35.3,10.552361005331301,0.0
4664,S,M,34.95,25.05,98.01000000000005,156.0,2.0,1374.0,48.8,12.766793602437167,0.0
4665,Z,L,35.05,25.15,98.00999999999998,154.0,2.0,1532.0,42.5,12.397182025894898,0.0
4666,T,M,34.95,25.15,96.04000000000008,151.0,2.0,1577.0,35.9,10.779569687738004,0.0
4667,Z,L,35.05,25.15,98.00999999999998,149.0,2.0,1379.0,62.3,16.357901751713634,0.0
4668,S,L,34.75,24.95,96.04000000000002,147.0,2.0,1386.0,57.3,15.121439451637473,0.0
4669,K,H,34.75,24.85,98.00999999999998,142.0,1.0,1635.0,34.0,10.584539223153085,0.0
4670,S,L,34.75,24.95,96.04000000000002,140.0,1.0,1343.2972617469768,51.7,13.223242275765177,0.0
4671,S,M,34.85,24.95,98.01000000000005,137.0,1.0,1417.0,51.0,13.759900990099009,0.0
4672,S,H,34.85,24.95,98.01000000000005,132.0,1.0,1482.0,37.8,10.666336633663366,0.0
4673,K,L,34.75,24.85,98.00999999999998,130.0,1.0,1373.0,50.2,13.123495811119575,0.0
4674,T,L,34.75,24.75,100.0,128.0,1.0,1711.8386524332445,28.9,9.419675753107533,0.0
4675,K,M,34.65,24.85,96.03999999999995,125.0,1.0,1527.0,42.8,12.443945163747143,0.0
4676,T,L,34.75,24.85,98.00999999999998,123.0,1.0,1538.0,38.5,11.274371667936025,0.0
4677,S,L,34.95,25.15,96.04000000000008,166.0,2.0,1499.0,44.1,12.586805026656513,0.0
4678,K,M,34.95,25.15,96.04000000000008,168.0,2.0,1411.0,47.2,12.68073115003808,0.0
4679,S,H,34.85,25.15,94.09000000000006,171.0,2.0,1462.0,45.5,12.665841584158416,0.0
4680,Z,M,34.85,25.05,96.04000000000002,176.0,2.0,1759.0,28.6,9.578712871287129,0.0
4681,K,L,34.45,24.95,90.25000000000007,217.0,2.0,1792.0,27.9,9.51957349581112,0.0
4682,T,L,34.45,24.95,90.25000000000007,215.0,2.0,1644.0,32.8,10.267174409748666,0.0
4683,Z,M,34.45,24.85,92.16000000000003,212.0,2.0,1647.0,30.8,9.658720487433358,0.0
4684,Z,H,34.55,24.85,94.08999999999992,207.0,2.0,1418.0,43.0,11.60967250571211,0.0
4685,S,L,34.65,24.95,94.08999999999999,205.0,2.0,1407.0,43.9,11.760719725818735,0.0
4686,S,L,34.75,25.05,94.08999999999999,203.0,2.0,1540.0,37.8,11.083777608530083,0.0
4687,S,M,34.75,25.05,94.08999999999999,200.0,2.0,1384.0,43.7,11.515765422696116,0.0
4688,T,L,34.75,24.95,96.04000000000002,119.0,1.0,1453.0,37.7,10.429950495049505,0.0
4689,K,L,34.75,25.05,94.08999999999999,198.0,2.0,1432.0,49.8,13.578370144706776,0.0
4690,K,L,34.75,25.15,92.16000000000003,194.0,2.0,1528.0,31.1,9.048134044173649,0.0
4691,K,L,35.76713438312795,25.15,112.7235425093978,192.0,2.0,1544.0,31.4,9.231073876618431,0.0
4692,T,L,34.85,25.15,94.09000000000006,190.0,2.0,1551.0,34.1,10.070277989337397,0.0
4693,K,L,34.85,25.15,94.09000000000006,188.0,2.0,1736.360960952538,27.2,8.99257771094993,0.0
4694,K,L,34.85,25.15,94.09000000000006,186.0,2.0,1594.4715059384007,36.0,10.929355333926585,0.0
4695,T,H,34.85,25.15,94.09000000000006,181.0,2.0,1491.0,39.7,11.270506473724296,0.0
4696,T,L,34.95,25.15,96.04000000000008,179.0,2.0,1535.0,38.0,11.106245239908606,0.0
4697,Z,L,34.85,25.05,96.04000000000002,196.0,2.0,1614.0,35.8,11.0017517136329,0.0
4698,T,M,34.65,23.95,114.48999999999998,199.0,2.0,1498.0,47.1,13.434082254379284,0.0
4699,K,M,35.15,24.95,104.03999999999999,143.0,1.0,1871.1613169551288,19.0,6.769243149685348,0.0
4700,T,L,35.25,25.15,102.01000000000003,139.0,1.0,2216.0,16.8,7.088499619192689,0.0
4701,K,L,37.15,25.85,127.68999999999994,103.0,1.0,1735.7009429182854,27.6,9.121353013051158,0.0
4702,Z,L,36.23531474759312,25.85,107.85476240657516,101.0,1.0,1491.0,45.1,12.80352246763138,0.0
4703,K,L,37.25,25.95,127.69000000000001,99.0,1.0,1437.0,47.8,13.078560548362526,0.0
4704,Z,L,37.25,25.95,127.69000000000001,97.0,1.0,1472.0,36.1,10.117897943640518,0.0
4705,Z,L,37.25,25.85,129.95999999999998,95.0,1.0,1364.0,54.0,14.024371667936025,0.0
4706,K,L,37.25,25.95,127.69000000000001,93.0,1.0,1475.0,42.4,11.907844630616907,0.0
4707,T,L,37.25,25.95,127.69000000000001,91.0,1.0,1501.0,43.0,12.289223153084539,0.0
4708,T,L,37.35,25.95,129.96000000000004,89.0,1.0,1382.0,53.0,13.946306169078447,0.0
4709,T,L,37.35,26.05,127.69000000000001,87.0,1.0,1428.0,46.9,12.751942117288651,0.0
4710,K,L,37.35,26.05,127.69000000000001,85.0,1.0,1450.0,40.9,11.291888804265042,0.0
4711,S,L,37.25,25.95,127.69000000000001,83.0,1.0,1584.0,34.4,10.375019040365574,0.0
4712,K,L,37.35,25.85,132.25,81.0,1.0,1772.408241786294,25.4,8.571814421434095,0.0
4713,K,M,37.25,25.95,127.69000000000001,78.0,1.0,1447.0,39.9,10.993012185833967,0.0
4714,K,H,37.35,25.95,129.96000000000004,73.0,1.0,1677.0,30.8,9.834653465346534,0.0
4715,K,L,37.25,25.95,127.69000000000001,70.0,1.0,1657.0,31.0,9.780464584920031,0.0
4716,Z,L,37.05,25.75,127.68999999999994,105.0,1.0,1607.0,39.5,12.08615765422696,0.0
4717,T,M,37.25,25.95,127.69000000000001,67.0,1.0,1662.0,33.6,10.632749428789033,0.0
4718,T,L,36.95,25.75,125.44000000000007,107.0,1.0,1412.0,46.3,12.447753236862148,0.0
4719,T,L,36.75,25.65,123.21000000000004,111.0,1.0,1365.0,50.5,13.125,0.0
4720,Z,M,36.15,25.15,121.0,147.0,1.0,1332.0,60.2,15.267783701447069,0.0
4721,T,M,36.25,25.15,123.21000000000004,144.0,1.0,2056.0,18.7,7.3204874333587195,0.0
4722,Z,L,36.25,25.15,123.21000000000004,142.0,1.0,1355.0,43.8,11.300266565118049,0.0
4723,S,L,36.35,25.25,123.21000000000004,140.0,1.0,1568.0,35.8,10.688194973343487,0.0
4724,Z,L,36.35,25.25,123.21000000000004,138.0,1.0,1570.0,35.6,10.642041127189643,0.0
4725,K,L,36.45,25.35,123.21000000000004,136.0,1.0,1692.0,28.3,9.117212490479817,0.0
4726,Z,M,36.45,25.35,123.21000000000004,133.0,1.0,1519.0,35.4,10.238499619192687,0.0
4727,Z,M,36.45,25.45,121.00000000000009,130.0,1.0,1366.0,61.9,16.09965727341965,0.0
4728,T,M,36.45,25.45,121.00000000000009,127.0,1.0,1315.0,48.9,12.243621477532368,0.0
4729,S,M,36.55,25.45,123.20999999999995,124.0,1.0,1438.0,44.5,12.184120335110434,0.0
4730,S,L,36.55,25.45,123.20999999999995,122.0,1.0,1421.0,53.6,14.502208682406703,0.0
4731,K,L,36.65,25.45,125.43999999999998,120.0,1.0,1437.0,42.6,11.655788271134806,0.0
4732,K,L,36.75,25.55,125.43999999999998,118.0,1.0,1497.0,41.6,11.857425742574259,0.0
4733,Z,M,36.75,25.55,125.43999999999998,115.0,1.0,1419.0,44.9,12.131207159177455,0.0
4734,K,L,36.75,25.55,125.43999999999998,113.0,1.0,1544.0,30.2,8.878293983244477,0.0
4735,K,L,36.75,25.65,123.21000000000004,109.0,1.0,1546.0,40.9,12.039489718202589,0.0
4736,T,M,37.15,25.95,125.43999999999998,64.0,1.0,1628.0,35.8,11.097182025894895,0.0
4737,K,L,37.05,25.95,123.20999999999995,62.0,1.0,1618.0,29.2,8.995734958111196,0.0
4738,K,L,37.15,25.95,125.43999999999998,60.0,0.0,1477.0,37.9,10.658472962680882,0.0
4739,K,L,36.75,25.65,123.21000000000004,217.0,2.0,1589.0,31.8,9.621134805788271,0.0
4740,K,M,36.85,25.75,123.21000000000004,214.0,2.0,1495.0,35.2,10.019801980198022,0.0
4741,S,L,36.85,25.75,123.21000000000004,210.0,2.0,1320.0,47.4,11.913175932977913,0.0
4742,T,L,36.85,25.65,125.44000000000007,208.0,2.0,1554.8628984507227,38.5,11.397985832131155,0.0
4743,T,M,36.85,25.65,125.44000000000007,205.0,2.0,2083.0,18.2,7.218316831683168,0.0
4744,S,L,36.85,25.65,125.44000000000007,203.0,2.0,1617.0,33.0,10.16012947448591,0.0
4745,T,L,36.75,25.65,123.21000000000004,200.0,2.0,1570.0,42.1,12.585110434120335,0.0
4746,K,M,36.75,25.65,123.21000000000004,197.0,2.0,1528.0,36.7,10.677380045696879,0.0
4747,S,M,36.85,25.75,123.21000000000004,194.0,2.0,1415.0,53.2,14.333206397562833,0.0
4748,K,L,37.05,25.85,125.4399999999999,192.0,2.0,1944.0,23.4,8.661386138613862,0.0
4749,S,M,37.05,25.85,125.4399999999999,189.0,2.0,1469.0,53.2,14.88019801980198,0.0
4750,S,L,37.05,25.85,125.4399999999999,187.0,1.0,1466.0,42.5,11.863099771515612,0.0
4751,K,L,36.95,25.85,123.21000000000004,185.0,2.0,1452.0,48.9,13.51919268849962,0.0
4752,S,L,36.95,25.85,123.21000000000004,183.0,1.0,1564.0,33.8,10.065346534653465,0.0
4753,T,L,36.75,25.65,123.21000000000004,2.0,0.0,1539.0,33.4,9.787242955064738,0.0
4754,Z,L,36.65,25.65,121.0,4.0,0.0,1462.0,46.8,13.027722772277226,0.0
4755,S,L,36.65,25.55,123.20999999999995,6.0,0.0,1356.0,54.0,13.942117288651943,0.0
4756,Z,M,36.65,25.65,121.0,8.0,0.0,1622.0,34.6,10.685681645087586,0.0
4757,Z,L,37.05,25.85,125.4399999999999,58.0,0.0,1602.0,38.2,11.652018278750953,0.0
4758,T,M,36.95,25.75,125.44000000000007,55.0,0.0,1486.0,38.5,10.893183549124144,0.0
4759,K,L,36.85,25.75,123.21000000000004,53.0,0.0,1550.0,38.8,11.450875856816449,0.0
4760,Z,M,36.85,25.75,123.21000000000004,50.0,0.0,1741.0,27.7,9.182349581111957,0.0
4761,K,M,36.75,25.75,121.0,47.0,0.0,1534.0,37.0,10.806930693069306,0.0
4762,Z,L,36.85,25.75,123.21000000000004,45.0,0.0,1482.0,39.1,11.033168316831684,0.0
4763,Z,H,36.75,25.75,121.0,35.0,0.0,1510.0,44.2,12.707920792079207,0.0
4764,T,M,36.05,25.05,120.99999999999993,150.0,1.0,1448.0,52.5,14.474485910129474,0.0
4765,Z,H,36.85,25.75,123.21000000000004,30.0,0.0,1504.8484251870084,42.1,12.062855807382531,0.0
4766,Z,L,36.75,25.75,121.0,25.0,0.0,1363.0,44.0,11.41888804265042,0.0
4767,Z,L,36.75,25.75,121.0,23.0,0.0,1437.0,42.8,11.71051028179741,0.0
4768,T,M,36.85,25.85,121.0,20.0,0.0,1516.5326817039281,41.4,11.954389379768207,0.0
4769,Z,L,36.95,25.85,123.21000000000004,18.0,0.0,1378.0,49.3,12.935148514851484,0.0
4770,K,M,36.95,25.85,123.21000000000004,15.0,0.0,1456.0,43.8,12.142574257425741,0.0
4771,T,L,36.85,25.75,123.21000000000004,13.0,0.0,1568.0,33.7,10.061233815689262,0.0
4772,S,L,36.75,25.65,123.21000000000004,11.0,0.0,1394.0,40.3,10.696534653465346,0.0
4773,S,M,36.75,25.75,121.0,27.0,0.0,1377.0,49.6,13.004417364813404,0.0
4774,S,L,35.25,25.15,102.01000000000003,141.0,1.0,1402.0,51.0,13.614242193450114,0.0
4775,K,L,35.85,24.95,118.81000000000004,153.0,1.0,1578.0,35.6,10.696268088347297,0.0
4776,K,L,35.95,25.05,118.81000000000004,158.0,1.0,1976.0,19.3,7.261386138613862,0.0
4777,K,L,35.85,25.25,112.36000000000003,91.0,1.0,1379.0,54.7,14.362395277989338,0.0
4778,K,L,35.95,25.35,112.36000000000003,89.0,1.0,2304.0,15.1,6.624219345011425,0.0
4779,S,L,36.05,25.35,114.48999999999991,86.0,1.0,1525.0,39.3,11.411367098248284,0.0
4780,Z,M,36.15,25.45,114.48999999999998,83.0,1.0,1449.0,46.4,12.801523229246,0.0
4781,S,L,36.05,25.35,114.48999999999991,81.0,1.0,1798.0,29.6,10.133434881949734,0.0
4782,Z,M,36.05,25.35,114.48999999999991,78.0,1.0,1467.0,39.6,11.061157654226962,0.0
4783,S,M,35.85,25.15,114.49000000000007,75.0,1.0,1326.0,54.4,13.734653465346534,0.0
4784,Z,L,35.75,24.95,116.64000000000001,73.0,1.0,1581.0,36.1,10.867117288651944,0.0
4785,S,L,35.75,24.95,116.64000000000001,71.0,1.0,1757.0,29.1,9.735091393754761,0.0
4786,Z,L,35.85,24.95,118.81000000000004,68.0,1.0,1339.0,51.4,13.104455445544552,0.0
4787,S,M,35.85,25.05,116.64000000000001,65.0,1.0,1417.0,39.2,10.576237623762376,0.0
4788,K,H,35.95,25.05,118.81000000000004,60.0,1.0,1438.0,41.4,11.335338918507235,0.0
4789,K,L,35.95,25.05,118.81000000000004,58.0,0.0,1497.0,40.5,11.54388804265042,0.0
4790,Z,L,35.95,25.05,118.81000000000004,56.0,0.0,1557.0,36.0,10.672505712109672,0.0
4791,Z,L,35.95,25.05,118.81000000000004,54.0,0.0,1559.0,34.0,10.092536176694592,0.0
4792,T,L,35.85,25.35,110.25,93.0,1.0,1628.0,34.9,10.818202589489717,0.0
4793,T,L,36.05,25.05,120.99999999999993,49.0,0.0,1425.0,44.5,12.073971820258949,0.0
4794,T,L,35.95,25.35,112.36000000000003,95.0,1.0,1474.0,52.7,14.79051789794364,0.0
4795,K,L,35.85,25.35,110.25,100.0,1.0,1391.0,48.4,12.818811881188118,0.0
4796,T,L,35.35,25.15,104.04000000000006,137.0,1.0,1310.0389251682202,53.8,13.419667588356864,0.0
4797,T,M,35.35,25.15,104.04000000000006,134.0,1.0,1510.0,39.9,11.471629855293221,0.0
4798,Z,L,35.25,25.15,102.01000000000003,132.0,1.0,1458.0,41.8,11.604036557501903,0.0
4799,Z,M,35.25,25.15,102.01000000000003,129.0,1.0,1476.0,43.5,12.225057121096725,0.0
4800,K,L,35.35,25.25,102.01000000000003,127.0,1.0,1585.0,30.6,9.234767707539985,0.0
4801,S,H,35.45,25.35,102.01000000000003,122.0,1.0,1398.0,47.1,12.537281035795887,0.0
4802,Z,L,35.55,25.35,104.0399999999999,120.0,1.0,1491.0,42.0,11.923457730388423,0.0
4803,K,M,35.65,25.35,106.08999999999995,117.0,1.0,1584.0,31.7,9.56070068545316,0.0
4804,S,L,35.75,25.45,106.09000000000002,115.0,1.0,1332.0,59.1,14.988804265041889,0.0
4805,K,L,35.85,25.45,108.16000000000004,113.0,1.0,1781.0,27.8,9.427227722772278,0.0
4806,T,L,35.75,25.35,108.15999999999997,111.0,1.0,1458.0,40.1,11.132102056359482,0.0
4807,S,L,35.85,25.35,110.25,109.0,1.0,1638.0,32.4,10.104950495049504,0.0
4808,K,L,35.85,25.35,110.25,107.0,1.0,1706.0,29.5,9.582444782939833,0.0
4809,S,M,35.75,25.25,110.25,104.0,1.0,1349.0,52.1,13.382121096725058,0.0
4810,K,L,35.85,25.25,112.36000000000003,102.0,1.0,1348.0,55.5,14.244859101294745,0.0
4811,Z,M,35.95,25.35,112.36000000000003,97.0,1.0,1544.0,38.8,11.406549885757807,0.0
4812,Z,L,35.95,25.05,118.81000000000004,47.0,0.0,1787.0,27.6,9.390936785986291,0.0
4813,S,L,35.95,25.15,116.64000000000009,45.0,0.0,2449.0,13.8,6.4349200304645855,0.0
4814,S,L,35.95,25.15,116.64000000000009,43.0,0.0,1605.3702901147628,35.8,10.942927720127287,0.0
4815,T,L,35.65,24.95,114.48999999999998,204.0,2.0,1462.0,48.2,13.41744097486672,0.0
4816,S,M,35.65,24.95,114.48999999999998,201.0,2.0,1436.0,48.2,13.178827113480578,0.0
4817,S,M,35.65,24.95,114.48999999999998,198.0,2.0,2101.0,17.4,6.9606626047220095,0.0
4818,Z,M,35.75,25.05,114.48999999999998,195.0,2.0,2206.0,16.3,6.846496572734197,0.0
4819,T,L,35.75,24.95,116.64000000000001,193.0,2.0,1790.0,27.2,9.27037319116527,0.0
4820,T,L,35.65,24.95,114.48999999999998,191.0,2.0,1629.0,34.3,10.638747143945164,0.0
4821,K,H,35.45,24.85,112.36000000000003,184.0,2.0,1383.0,44.6,11.744440213252094,0.0
4822,S,M,35.65,24.95,114.48999999999998,181.0,2.0,1377.0,48.5,12.716012947448592,0.0
4823,K,L,35.75,24.95,116.64000000000001,179.0,2.0,1496.0,44.9,12.789489718202589,0.0
4824,T,M,35.85,25.05,116.64000000000001,173.0,1.0,1353.0,46.2,11.901865955826352,0.0
4825,Z,L,35.95,25.15,116.64000000000009,171.0,1.0,1341.0,43.8,11.183511043412032,0.0
4826,S,M,35.95,25.15,116.64000000000009,168.0,1.0,1748.0918207519144,26.6,8.85362574866735,0.0
4827,Z,L,36.05,25.15,118.80999999999997,166.0,1.0,1568.0,36.3,10.837471439451637,0.0
4828,S,L,36.05,25.15,118.80999999999997,164.0,1.0,1429.0,48.5,13.196210967250572,0.0
4829,T,M,36.15,25.15,121.0,161.0,1.0,1524.0,34.6,10.04006092916984,0.0
4830,Z,L,35.65,24.95,114.48999999999998,206.0,2.0,1771.0,26.2,8.834767707539985,0.0
4831,T,L,35.65,24.95,114.48999999999998,208.0,2.0,1506.0,47.0,13.477151561309977,0.0
4832,S,L,35.65,24.95,114.48999999999998,210.0,2.0,1626.0,36.7,11.362185833968013,0.0
4833,S,L,35.75,24.95,116.64000000000001,212.0,2.0,1610.0,33.7,10.330731150038082,0.0
4834,K,L,35.95,25.25,114.49000000000007,41.0,0.0,1519.0,36.9,10.672334348819497,0.0
4835,T,H,35.95,25.15,116.64000000000009,36.0,0.0,1562.0,37.7,11.212376237623763,0.0
4836,S,M,35.85,25.15,114.49000000000007,33.0,0.0,1629.9253174256432,34.3,10.644790248990777,0.0
4837,Z,L,36.05,25.25,116.63999999999994,31.0,0.0,1472.0,40.1,11.23899466869764,0.0
4838,S,M,35.85,25.15,114.49000000000007,28.0,0.0,1512.0,38.5,11.083777608530085,0.0
4839,S,H,35.95,25.15,116.64000000000009,23.0,0.0,1371.0,55.7,14.540118050266564,0.0
4840,S,M,35.85,25.15,114.49000000000007,20.0,0.0,1408.0,38.8,10.4018278750952,0.0
4841,K,M,35.95,24.95,121.00000000000009,155.0,1.0,1562.0,39.2,11.658492003046458,0.0
4842,T,L,35.85,25.15,114.49000000000007,18.0,0.0,1278.0,54.0,13.14013709063214,0.0
4843,T,M,35.75,25.05,114.48999999999998,12.0,0.0,1628.0,37.6,11.655140898705255,0.0
4844,S,L,35.65,25.05,112.35999999999996,10.0,0.0,1568.0,32.9,9.822391469916221,0.0
4845,T,H,35.65,24.95,114.48999999999998,5.0,0.0,1503.0,36.3,10.388214013709062,0.0
4846,Z,L,35.65,25.05,112.35999999999996,3.0,0.0,1642.0,30.3,9.473076923076922,0.0
4847,S,M,35.55,24.95,112.35999999999996,217.0,2.0,1507.0,37.3,10.702798933739528,0.0
4848,Z,M,35.55,24.95,112.35999999999996,214.0,2.0,1376.0,55.7,14.593145468392992,0.0
4849,Z,M,35.85,25.15,114.49000000000007,15.0,0.0,1614.0,35.5,10.90955826351866,0.0
4850,S,L,36.15,25.25,118.80999999999997,208.0,2.0,1542.0,35.4,10.393526275704494,0.0
4851,S,L,39.65,30.65,81.0,196.0,2.0,1540.0,44.8,13.136329017517136,0.0
4852,S,M,39.65,30.65,81.0,200.0,2.0,1612.0,36.3,11.141584158415842,0.0
4853,S,M,36.65,25.75,118.80999999999997,138.0,1.0,1477.0,48.5,13.639470677837014,0.0
4854,K,L,36.65,25.75,118.80999999999997,136.0,1.0,1529.0,44.0,12.80959634424981,0.0
4855,K,M,36.65,25.75,118.80999999999997,133.0,1.0,1392.0,48.7,12.907539984767709,0.0
4856,Z,L,36.65,25.75,118.80999999999997,131.0,1.0,1505.0,39.0,11.175742574257425,0.0
4857,S,L,36.65,25.75,118.80999999999997,129.0,1.0,1424.0,49.6,13.44828636709825,0.0
4858,Z,L,36.45,25.55,118.81000000000004,127.0,1.0,1325.0,52.2,13.16926884996192,0.0
4859,Z,M,36.55,25.65,118.80999999999997,124.0,1.0,1258.296234131851,57.1,13.68025799103745,0.0
4860,Z,H,36.45,25.55,118.81000000000004,119.0,1.0,1523.0,34.2,9.917479055597868,0.0
4861,K,M,36.45,25.65,116.64000000000009,116.0,1.0,1553.8142284057803,38.8,11.479054086470729,0.0
4862,K,M,36.45,25.65,116.64000000000009,113.0,1.0,1394.0,46.0,12.20944402132521,0.0
4863,K,H,36.09330990766979,25.65,109.06272182763405,108.0,1.0,1453.0,40.4,11.176923076923076,0.0
4864,T,L,36.55,25.65,118.80999999999997,106.0,1.0,1364.0,44.9,11.661005331302361,0.0
4865,T,L,36.176664681997714,25.75,108.71533639081849,104.0,1.0,1442.0,50.0,13.728103579588728,0.0
4866,Z,M,36.65,25.75,118.80999999999997,101.0,1.0,1453.0,47.7,13.196515613099773,0.0
4867,Z,L,36.65,25.65,121.0,99.0,1.0,1393.0,45.7,12.121115765422697,0.0
4868,K,M,36.65,25.75,118.80999999999997,141.0,1.0,1459.0,47.3,13.139889565879665,0.0
4869,T,H,36.65,25.65,121.0,94.0,1.0,1565.0,39.3,11.710681645087584,0.0
4870,S,M,36.75,25.95,116.64000000000001,144.0,1.0,1922.1171837470135,15.9,5.819052403194501,0.0
4871,S,M,36.65,25.75,118.80999999999997,149.0,1.0,1589.0,35.3,10.680064737242954,0.0
4872,Z,L,36.55,25.55,120.99999999999993,192.0,2.0,1581.1656918211625,36.9,11.109103965765593,0.0
4873,K,M,36.55,25.65,118.80999999999997,189.0,2.0,1686.0,26.2,8.410738766184311,0.0
4874,Z,M,36.55,25.65,118.80999999999997,186.0,2.0,1382.0,48.1,12.656930693069306,0.0
4875,S,M,36.45,25.65,116.64000000000009,183.0,2.0,1487.0,33.6,9.513175932977914,0.0
4876,S,M,36.55,25.65,118.80999999999997,180.0,2.0,1452.0,42.7,11.805102817974106,0.0
4877,K,L,36.55,25.65,118.80999999999997,178.0,1.0,1665.0,31.1,9.859386900228484,0.0
4878,K,L,36.65,25.65,121.0,176.0,1.0,1601.0,35.7,10.882654226961158,0.0
4879,T,H,36.75,25.75,121.0,171.0,1.0,1490.0,35.9,10.184881949733436,0.0
4880,Z,L,36.65,25.75,118.80999999999997,169.0,1.0,1609.0,40.4,12.376923076923077,0.0
4881,S,H,36.75,25.75,121.0,164.0,1.0,1437.0,48.2,13.18800456968774,0.0
4882,T,L,36.65,25.65,121.0,162.0,1.0,1510.0,40.6,11.672886519421173,0.0
4883,T,L,36.65,25.75,118.80999999999997,160.0,1.0,1751.0,29.6,9.868545316070069,0.0
4884,Z,M,36.65,25.75,118.80999999999997,157.0,1.0,1480.0,38.1,10.736481340441737,0.0
4885,T,M,36.65,25.75,118.80999999999997,154.0,1.0,1499.0,40.3,11.502227722772277,0.0
4886,K,L,36.65,25.75,118.80999999999997,152.0,1.0,1718.4909059348229,28.5,9.325398099608236,0.0
4887,Z,L,36.65,25.85,116.63999999999994,147.0,1.0,1449.0,48.8,13.463670982482864,0.0
4888,T,L,36.55,25.65,118.80999999999997,194.0,2.0,1442.0,55.6,15.265651180502665,0.0
4889,S,L,36.65,25.65,121.0,92.0,1.0,1667.0,30.4,9.649047981721248,0.0
4890,K,H,36.75,25.65,123.21000000000004,85.0,1.0,1422.0,40.7,11.01968773800457,0.0
4891,T,M,37.45,25.85,134.56000000000003,27.0,0.0,1525.0,38.5,11.179074638233054,0.0
4892,Z,M,37.35,25.85,132.25,24.0,0.0,1533.0,44.4,12.959862909367859,0.0
4893,S,H,37.45,25.85,134.56000000000003,19.0,0.0,1429.0,39.9,10.85626428027418,0.0
4894,S,L,37.45,25.85,134.56000000000003,17.0,0.0,1751.235315273039,26.9,8.969579204273563,0.0
4895,Z,M,37.55,25.85,136.8899999999999,14.0,0.0,1607.8814422522414,35.8,10.960044865314211,0.0
4896,S,L,37.55,25.85,136.8899999999999,12.0,0.0,1406.0,43.8,11.725590251332825,0.0
4897,S,M,37.55,25.75,139.23999999999992,9.0,0.0,1640.0,33.8,10.554455445544553,0.0
4898,T,L,37.55,25.85,136.8899999999999,7.0,0.0,1585.0,38.1,11.498191165270374,0.0
4899,K,M,37.45,25.75,136.89000000000007,4.0,0.0,1678.0,32.8,10.479512566641278,0.0
4900,T,L,37.55,25.85,136.8899999999999,2.0,0.0,1387.0,52.7,13.917536176694595,0.0
4901,Z,H,37.55,25.85,136.8899999999999,221.0,2.0,1615.0,33.0,10.147562833206397,0.0
4902,K,M,37.65,25.85,139.23999999999992,218.0,2.0,1638.0,33.6,10.47920792079208,0.0
4903,S,H,37.55,25.85,136.8899999999999,213.0,2.0,1550.3837663696772,38.8,11.453710992982382,0.0
4904,T,L,37.55,25.75,139.23999999999992,211.0,2.0,1602.0,39.1,11.926542269611577,0.0
4905,K,L,37.35,25.85,132.25,30.0,0.0,1739.0,26.3,8.708244478293985,0.0
4906,T,L,36.75,25.75,121.0,90.0,1.0,1463.0,40.0,11.142421934501142,0.0
4907,Z,L,37.25,25.85,129.95999999999998,32.0,0.0,1436.0,39.0,10.663366336633663,0.0
4908,T,H,37.05,25.65,129.95999999999998,37.0,0.0,1435.0,45.6,12.459253617669459,0.0
4909,S,L,36.85,25.75,123.21000000000004,83.0,1.0,1739.0,30.6,10.132025894897183,0.0
4910,K,M,36.95,25.75,125.44000000000007,80.0,1.0,1484.0,44.9,12.686900228484385,0.0
4911,K,M,36.95,25.75,125.44000000000007,77.0,1.0,1529.0,38.5,11.208396801218584,0.0
4912,S,M,36.95,25.75,125.44000000000007,74.0,1.0,1295.0,52.7,12.994383092155369,0.0
4913,S,L,36.85,25.65,125.44000000000007,72.0,1.0,1465.0,39.7,11.07397182025895,0.0
4914,Z,M,36.95,25.65,127.6900000000001,69.0,1.0,1459.0,40.2,11.167517136329018,0.0
